Record Length,Analog:10000000
Sample Rate,5000000.0
Vertical Scale,CH1:+1.000000E+001
Vertical Offset,CH1:-4.066666E+001
Horizontal Scale,+2.000000E-001
Second,Volt,
-1.978892E-001,+4.583308E-001,
-1.978890E-001,+4.583308E-001,
-1.978888E-001,+4.791641E-001,
-1.978886E-001,+3.958308E-001,
-1.978884E-001,+4.583308E-001,
-1.978882E-001,+3.749975E-001,
-1.978880E-001,+4.374975E-001,
-1.978878E-001,+4.583308E-001,
-1.978876E-001,+4.374975E-001,
-1.978874E-001,+4.166641E-001,
-1.978872E-001,+4.583308E-001,
-1.978870E-001,+4.999975E-001,
-1.978868E-001,+4.374975E-001,
-1.978866E-001,+4.374975E-001,
-1.978864E-001,+4.374975E-001,
-1.978862E-001,+3.958308E-001,
-1.978860E-001,+4.374975E-001,
-1.978858E-001,+4.166641E-001,
-1.978856E-001,+4.999975E-001,
-1.978854E-001,+4.791641E-001,
-1.978852E-001,+4.791641E-001,
-1.978850E-001,+4.374975E-001,
-1.978848E-001,+4.374975E-001,
-1.978846E-001,+4.374975E-001,
-1.978844E-001,+4.374975E-001,
-1.978842E-001,+4.374975E-001,
-1.978840E-001,+4.583308E-001,
-1.978838E-001,+3.958308E-001,
-1.978836E-001,+4.583308E-001,
-1.978834E-001,+5.208308E-001,
-1.978832E-001,+4.166641E-001,
-1.978830E-001,+4.791641E-001,
-1.978828E-001,+4.374975E-001,
-1.978826E-001,+4.999975E-001,
-1.978824E-001,+4.374975E-001,
-1.978822E-001,+4.374975E-001,
-1.978820E-001,+4.583308E-001,
-1.978818E-001,+4.374975E-001,
-1.978816E-001,+4.791641E-001,
-1.978814E-001,+4.374975E-001,
-1.978812E-001,+4.791641E-001,
-1.978810E-001,+4.374975E-001,
-1.978808E-001,+4.583308E-001,
-1.978806E-001,+5.416641E-001,
-1.978804E-001,+4.374975E-001,
-1.978802E-001,+4.583308E-001,
-1.978800E-001,+4.374975E-001,
-1.978798E-001,+4.374975E-001,
-1.978796E-001,+4.166641E-001,
-1.978794E-001,+4.374975E-001,
-1.978792E-001,+4.583308E-001,
-1.978790E-001,+4.791641E-001,
-1.978788E-001,+4.374975E-001,
-1.978786E-001,+4.583308E-001,
-1.978784E-001,+4.166641E-001,
-1.978782E-001,+4.583308E-001,
-1.978780E-001,+3.541641E-001,
-1.978778E-001,+4.791641E-001,
-1.978776E-001,+4.166641E-001,
-1.978774E-001,+3.958308E-001,
-1.978772E-001,+4.999975E-001,
-1.978770E-001,+4.374975E-001,
-1.978768E-001,+4.374975E-001,
-1.978766E-001,+4.583308E-001,
-1.978764E-001,+4.374975E-001,
-1.978762E-001,+4.999975E-001,
-1.978760E-001,+4.583308E-001,
-1.978758E-001,+4.583308E-001,
-1.978756E-001,+4.791641E-001,
-1.978754E-001,+4.999975E-001,
-1.978752E-001,+3.958308E-001,
-1.978750E-001,+4.166641E-001,
-1.978748E-001,+4.583308E-001,
-1.978746E-001,+4.999975E-001,
-1.978744E-001,+5.416641E-001,
-1.978742E-001,+4.374975E-001,
-1.978740E-001,+4.999975E-001,
-1.978738E-001,+4.166641E-001,
-1.978736E-001,+4.583308E-001,
-1.978734E-001,+4.166641E-001,
-1.978732E-001,+4.583308E-001,
-1.978730E-001,+4.166641E-001,
-1.978728E-001,+4.583308E-001,
-1.978726E-001,+4.374975E-001,
-1.978724E-001,+4.791641E-001,
-1.978722E-001,+4.791641E-001,
-1.978720E-001,+4.791641E-001,
-1.978718E-001,+4.374975E-001,
-1.978716E-001,+5.208308E-001,
-1.978714E-001,+4.791641E-001,
-1.978712E-001,+3.958308E-001,
-1.978710E-001,+4.583308E-001,
-1.978708E-001,+4.374975E-001,
-1.978706E-001,+4.583308E-001,
-1.978704E-001,+4.583308E-001,
-1.978702E-001,+4.583308E-001,
-1.978700E-001,+4.999975E-001,
-1.978698E-001,+4.374975E-001,
-1.978696E-001,+4.374975E-001,
-1.978694E-001,+4.374975E-001,
-1.978692E-001,+4.999975E-001,
-1.978690E-001,+4.374975E-001,
-1.978688E-001,+4.374975E-001,
-1.978686E-001,+4.999975E-001,
-1.978684E-001,+4.166641E-001,
-1.978682E-001,+4.374975E-001,
-1.978680E-001,+4.374975E-001,
-1.978678E-001,+4.791641E-001,
-1.978676E-001,+4.583308E-001,
-1.978674E-001,+4.166641E-001,
-1.978672E-001,+4.166641E-001,
-1.978670E-001,+4.166641E-001,
-1.978668E-001,+4.374975E-001,
-1.978666E-001,+4.374975E-001,
-1.978664E-001,+4.374975E-001,
-1.978662E-001,+4.374975E-001,
-1.978660E-001,+4.583308E-001,
-1.978658E-001,+4.583308E-001,
-1.978656E-001,+3.958308E-001,
-1.978654E-001,+4.583308E-001,
-1.978652E-001,+4.166641E-001,
-1.978650E-001,+4.374975E-001,
-1.978648E-001,+4.583308E-001,
-1.978646E-001,+4.791641E-001,
